"Target_Symbol"	"Target_ID"	"Target_Name"	"Associated_Disease_Count"	"Tractability_Count"	"sm_approved"	"sm_advancedClinical"	"sm_phase1"	"ab_approved"	"ab_advancedClinical"	"ab_phase1"	"pr_approved"	"pr_advancedClinical"	"pr_phase1"	"oc_approved"	"oc_advancedClinical"	"oc_phase1"	"Subcellular_Location"	"Safety_Liabilities"	"Number_Unique_Drugs"	"Drug_ID"	"Drug_Name"	"Is_FDA_Approved"	"Highest_Clinical_Trial_Phase"	"Has_Been_Withdrawn"	"Pathway_DB"	"Pathway_Name"	"Target_in_Pathways"	"num_Approved_Drugs"	"num_Phase3"	"num_Phase2"	"num_Phase1"	"num_Phase4"	"Weighted_Score"
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL3125702"	"AMG-232"	"FALSE"	"2"	"FALSE"	"Reactome"	"G2/M DNA damage checkpoint"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL3125702"	"AMG-232"	"FALSE"	"2"	"FALSE"	"Reactome"	"DNA Repair"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL3125702"	"AMG-232"	"FALSE"	"2"	"FALSE"	"Reactome"	"DNA Repair"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL2108280"	"CENERSEN"	"FALSE"	"2"	"FALSE"	"Reactome"	"DNA Repair"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL2108280"	"CENERSEN"	"FALSE"	"2"	"FALSE"	"Reactome"	"Regulation of TP53 Activity"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL2108585"	"CONTUSUGENE LADENOVEC"	"FALSE"	"2"	"FALSE"	"Reactome"	"G2/M DNA damage checkpoint"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL3186011"	"EPRENETAPOPT"	"FALSE"	"3"	"FALSE"	"Reactome"	"DNA Repair"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL2108585"	"CONTUSUGENE LADENOVEC"	"FALSE"	"2"	"FALSE"	"Reactome"	"DNA Repair"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL3186011"	"EPRENETAPOPT"	"FALSE"	"3"	"FALSE"	"Reactome"	"DNA Repair"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL3125702"	"AMG-232"	"FALSE"	"2"	"FALSE"	"Reactome"	"DNA Repair"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL3125702"	"AMG-232"	"FALSE"	"2"	"FALSE"	"Reactome"	"G2/M Checkpoints"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL2402737"	"IDASANUTLIN"	"FALSE"	"3"	"FALSE"	"Reactome"	"G2/M DNA damage checkpoint"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL2108280"	"CENERSEN"	"FALSE"	"2"	"FALSE"	"Reactome"	"G2/M DNA damage checkpoint"	6	0	3	5	0	0	2457.5
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	"CHEMBL3125702"	"AMG-232"	"FALSE"	"2"	"FALSE"	"Reactome"	"DNA Repair"	6	0	3	5	0	0	2457.5
