"Target_Symbol"	"Target_ID"	"Target_Name"	"Associated_Disease_Count"	"Tractability_Count"	"sm_approved"	"sm_advancedClinical"	"sm_phase1"	"ab_approved"	"ab_advancedClinical"	"ab_phase1"	"pr_approved"	"pr_advancedClinical"	"pr_phase1"	"oc_approved"	"oc_advancedClinical"	"oc_phase1"	"Subcellular_Location"	"Safety_Liabilities"	"Number_Unique_Drugs"	"Target_in_Pathways"	"num_Approved_Drugs"	"num_Phase3"	"num_Phase2"	"num_Phase1"	"num_Phase4"	"Weighted_Score"
"TP53"	"ENSG00000141510"	"tumor protein p53"	2433	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	2	8	6	0	3	5	0	0	2457.5
"IL6"	"ENSG00000136244"	"interleukin 6"	2249	4	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	2	8	1	1	3	0	0	1	2265.5
"VEGFA"	"ENSG00000112715"	"vascular endothelial growth factor A"	2082	5	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Secreted"	1	11	1	4	1	0	0	4	2110.5
"CD4"	"ENSG00000010610"	"CD4 molecule"	2010	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cell membrane"	0	5	1	1	2	2	0	1	2027
"IFNG"	"ENSG00000111537"	"interferon gamma"	1875	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	3	2	1	0	1	1	1	1887.5
"CD40LG"	"ENSG00000102245"	"CD40 ligand"	1702	4	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cell membrane"	0	5	1	0	2	3	0	0	1718
"NFKB1"	"ENSG00000109320"	"nuclear factor kappa B subunit 1"	1695	3	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	1	1	1	0	1	0	0	0	1699.5
"IL1B"	"ENSG00000125538"	"interleukin 1 beta"	1670	4	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Cytoplasm"	0	4	1	2	1	0	0	2	1686.5
"ESR1"	"ENSG00000091831"	"estrogen receptor 1"	1614	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform 1]: Nucleus"	19	41	1	14	0	0	0	14	1666
"MMP9"	"ENSG00000100985"	"matrix metallopeptidase 9"	1584	7	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	2	3	1	0	2	1	0	0	1595
"IL10"	"ENSG00000136634"	"interleukin 10"	1575	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	1	1	0	0	1	0	0	1580
"MTOR"	"ENSG00000198793"	"mechanistic target of rapamycin kinase"	1493	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Endoplasmic reticulum membrane"	1	25	1	1	2	6	0	1	1534
"BCL2"	"ENSG00000171791"	"BCL2 apoptosis regulator"	1486	4	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Mitochondrion outer membrane"	1	7	1	1	4	0	0	1	1505
"AKT1"	"ENSG00000142208"	"AKT serine/threonine kinase 1"	1480	6	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	4	14	3	0	2	2	0	0	1500
"PTGS2"	"ENSG00000073756"	"prostaglandin-endoperoxide synthase 2"	1455	4	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Microsome membrane"	37	75	1	11	0	0	0	11	1494
"CXCL8"	"ENSG00000169429"	"C-X-C motif chemokine ligand 8"	1382	5	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	1	2	1	0	0	2	0	0	1390
"IL4"	"ENSG00000113520"	"interleukin 4"	1245	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	2	1	0	0	2	0	0	1251
"IL17A"	"ENSG00000112115"	"interleukin 17A"	1225	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Secreted"	0	9	1	2	0	0	0	2	1244
"CCL2"	"ENSG00000108691"	"C-C motif chemokine ligand 2"	1214	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	1	1	1	0	0	1	0	0	1218
"MMP2"	"ENSG00000087245"	"matrix metallopeptidase 2"	1186	6	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform 1]: Secreted"	1	1	1	0	1	0	0	0	1193.5
"NR3C1"	"ENSG00000113580"	"nuclear receptor subfamily 3 group C member 1"	1145	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform Alpha]: Cytoplasm"	42	71	1	15	0	0	0	15	1183
"PPARG"	"ENSG00000132170"	"peroxisome proliferator activated receptor gamma"	1132	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	18	35	1	7	0	0	0	7	1158
"FASLG"	"ENSG00000117560"	"Fas ligand"	1133	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cell membrane"	0	1	1	0	0	1	0	0	1137
"ICAM1"	"ENSG00000090339"	"intercellular adhesion molecule 1"	1100	3	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Membrane"	2	2	2	0	1	1	0	0	1105.5
"IFNA1"	"ENSG00000197919"	"interferon alpha 1"	1064	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	2	2	0	0	2	0	0	1071
"SOD1"	"ENSG00000142168"	"superoxide dismutase 1"	1052	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	1	1	0	1	0	0	0	1057.5
"STAT3"	"ENSG00000168610"	"signal transducer and activator of transcription 3"	1045	3	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	1	1	1	0	0	1	0	0	1049
"AR"	"ENSG00000169083"	"androgen receptor"	1027	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	40	34	1	12	0	0	0	12	1023
"FN1"	"ENSG00000115414"	"fibronectin 1"	995	4	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Secreted"	0	5	1	1	1	2	1	1	1012
"JAK2"	"ENSG00000096968"	"Janus kinase 2"	953	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Endomembrane system"	2	23	3	8	0	0	0	8	1004
"VDR"	"ENSG00000111424"	"vitamin D receptor"	937	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	1	17	1	8	0	0	0	8	982
"IL18"	"ENSG00000150782"	"interleukin 18"	947	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	0	3	1	0	1	1	1	0	956
"CSF2"	"ENSG00000164400"	"colony stimulating factor 2"	939	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	4	1	0	2	2	0	0	951
